pulsenumber,Post-synaptic current (μA)
0.013132037906114391,0.025953470633104492
0.16647435648812614,0.04107551487414185
0.310226214947833,0.0553299008390542
0.4779673541351537,0.07159849351639969
0.645839797541016,0.08631769641495046
0.8137122409468764,0.10103689931350113
1.0056658780333292,0.11668573607932875
1.1976326455416357,0.13217963386727694
1.3897044564247762,0.14643401983218918
1.5818419194171875,0.15991371090770407
1.7980290630777391,0.17469488939740657
2.038347296021926,0.18981693363844393
2.2787390593284984,0.20407131960335623
2.5191518313100376,0.21807780320366138
2.7837350838407735,0.23196033562166285
3.0724205387270684,0.24652459954233413
3.361193529759057,0.26005593694380885
3.674090232028118,0.27401520104609356
4.011136906377959,0.2880925138934292
4.372358563135918,0.30199275362318845
4.757723314134638,0.31609220061022125
5.1431734128754085,0.3291845442410374
5.552760144855713,0.34255233494363935
5.98654259697389,0.3554983473175693
6.444470435946168,0.3686165141113654
6.926588013419695,0.3813834858886347
7.432849810598715,0.3943363844393593
7.963261557121855,0.40740760002773735
8.493730600031267,0.41980271825809584
9.024252164628091,0.4315780805769365
9.554807152116911,0.4429590527702656
9.868332977801913,0.44949466056445464
10.061787859787025,0.4474288075260616
9.991058654065771,0.4267702771421307
9.992214131188941,0.41313564708873635
9.99335210108297,0.39970760233918134
10.018807612250967,0.3844202898550725
10.044140572814992,0.37057907449783883
10.033290467556142,0.35606645690312744
10.095489275879455,0.33483981693363846
10.084853634177563,0.3177965293668955
10.122485423211678,0.30137299771167053
10.135944105612225,0.285104405034325
10.173273894943698,0.272244469870328
10.186758838187952,0.2556659992372235
10.224167410050551,0.24187643020594968
10.237507918654412,0.22700228832951946
10.289861536671452,0.2079138062547674
10.349615460445516,0.18702803203661328
10.399471672225886,0.168900171624714
10.465241955293543,0.15304474955504704
10.547136396398145,0.13698274218154083
10.664771845789861,0.11730549199084672
10.86433675074446,0.10015891177218406
10.962168849264494,0.0860910264287934
11.266733409610985,0.08433447749809309
11.567610103086484,0.06907721378545173
12.099802812282938,0.06113306982872202
12.63198358473225,0.05332977948824624
13.163834107177347,0.04942343919746672
13.695754499382375,0.044692635739546405
14.223488342789036,0.04184848821934062
14.785310330450297,0.03881102212051868
15.27080128163691,0.03735697940503435
15.861364822284568,0.034350474616492876
16.33807260759674,0.03492960208492246
16.904437193758163,0.03311403508771926
17.417273677805085,0.03427510228139519
17.955919403873846,0.0316389933166249
18.480432794375126,0.03285717587777082
18.98965767172168,0.03277555301296731
19.543512969257407,0.032370761389640124
20.08730408512788,0.03010927832867194
20.36500229479373,0.03177917620137294
